,Algorithm,Dataset,AUC,ACC,XMAP_AUC,XMAP_ACC
32,ANN,new_spambase_data,0.958 (0.013),0.903 (0.013),0.958 (0.010),0.904 (0.010)
33,XGBoost,new_spambase_data,0.953 (0.011),0.893 (0.011),0.954 (0.012),0.895 (0.012)
34,ScopeRules,new_spambase_data,0.803 (0.019),0.804 (0.019),0.803 (0.019),0.804 (0.019)
35,Logistic Regression,mushroom_data,1.000 (0.002),0.998 (0.002),1.000 (0.002),0.998 (0.002)
36,Decision Tree,mushroom_data,0.997 (0.003),0.997 (0.003),0.998 (0.003),0.998 (0.003)
37,ANN,mushroom_data,1.000 (0.000),1.000 (0.000),1.000 (0.000),1.000 (0.000)
38,XGBoost,mushroom_data,1.000 (0.000),1.000 (0.000),1.000 (0.000),1.000 (0.000)
39,ScopeRules,mushroom_data,0.956 (0.005),0.954 (0.005),0.956 (0.005),0.954 (0.005)
40,Logistic Regression,new_breastcancer_data,0.992 (0.024),0.959 (0.024),0.991 (0.021),0.963 (0.021)
41,Decision Tree,new_breastcancer_data,0.963 (0.019),0.962 (0.019),0.977 (0.024),0.958 (0.024)
42,ANN,new_breastcancer_data,0.992 (0.021),0.972 (0.021),0.991 (0.019),0.972 (0.019)
43,XGBoost,new_breastcancer_data,0.994 (0.025),0.966 (0.025),0.995 (0.023),0.969 (0.023)
44,ScopeRules,new_breastcancer_data,0.957 (0.021),0.922 (0.021),0.969 (0.026),0.912 (0.026)
45,Logistic Regression,adult_data,0.890 (0.006),0.837 (0.006),0.891 (0.006),0.837 (0.006)
46,Decision Tree,adult_data,0.861 (0.005),0.822 (0.005),0.863 (0.005),0.822 (0.005)
47,ANN,adult_data,0.894 (0.006),0.839 (0.006),0.894 (0.006),0.838 (0.006)
48,XGBoost,adult_data,0.892 (0.005),0.838 (0.005),0.892 (0.005),0.838 (0.005)
49,ScopeRules,adult_data,0.507 (0.005),0.761 (0.005),0.507 (0.005),0.761 (0.005)
50,Logistic Regression,australian_data,0.910 (0.059),0.855 (0.059),0.921 (0.057),0.852 (0.057)
51,Decision Tree,australian_data,0.872 (0.049),0.845 (0.049),0.869 (0.056),0.844 (0.056)
52,ANN,australian_data,0.917 (0.060),0.845 (0.060),0.925 (0.050),0.852 (0.050)
53,XGBoost,australian_data,0.919 (0.049),0.870 (0.049),0.923 (0.047),0.867 (0.047)
54,ScopeRules,australian_data,0.912 (0.063),0.858 (0.063),0.912 (0.063),0.858 (0.063)
55,Logistic Regression,mammo_data,0.851 (0.038),0.802 (0.038),0.851 (0.038),0.802 (0.038)
56,Decision Tree,mammo_data,0.838 (0.045),0.804 (0.045),0.832 (0.044),0.794 (0.044)
57,ANN,mammo_data,0.854 (0.046),0.800 (0.046),0.854 (0.052),0.799 (0.052)
58,XGBoost,mammo_data,0.848 (0.053),0.797 (0.053),0.846 (0.044),0.800 (0.044)
59,ScopeRules,mammo_data,0.832 (0.042),0.767 (0.042),0.832 (0.042),0.767 (0.042)
