,Algorithm,Dataset,Parameter,AUC,AUC_STD,ACC,ACC_STD,XMAP_AUC,XMAP_AUC_STD,XMAP_ACC,XMAP_ACC_STD,LAYER_AUC,LAYER_AUC_STD,LAYER_ACC,LAYER_ACC_STD
21,Decision Tree,new_hribm_data,NA,0.6861759992512267,0.06529426155556493,0.8346758066425386,0.02119617134514886,0.6893860617471883,0.04363372514813109,0.8340046014703548,0.015942743478748415,0.7168870345347914,0.056181749635293876,0.8210789906484622,0.01784681608780121
22,ANN,new_hribm_data,NA,0.8327603745006595,0.06768553708278878,0.8700643752502852,0.02182265680663564,0.8339541832480035,0.05664611767376678,0.8707630330918,0.02049829174953946,0.7868042014922253,0.05291769061438542,0.8510302306779801,0.01941288786193449
23,XGBoost,new_hribm_data,NA,0.8124694385530811,0.06154706897712313,0.8653209191858897,0.011880763488591031,0.8088546714709783,0.05998632081277021,0.8653070039567105,0.011604232661483745,0.8094878861218486,0.058670434630796395,0.8741415373998545,0.014059608613014415
24,ScopeRules,new_hribm_data,NA,0.6428070730567053,0.03446156982366693,0.8441762562114812,0.01688811385125629,0.642942574411719,0.03450979779275618,0.8441762562114812,0.01688811385125629,0.644654722165209,0.03206624916586647,0.8489244346387202,0.018896718705267063
25,Logistic Regression,bank_data,1.0,0.7850838452528832,0.012178202335597113,0.8993640211479255,0.0031823508826645105,0.7868860004827452,0.012584263965325877,0.8994853980434666,0.0032502282445782287,0.7914645018855648,0.011759694283667658,0.8987084986583573,0.0032070581821703734
26,Decision Tree,bank_data,NA,0.7784355745266149,0.012106802491755069,0.8993883283628235,0.0036442655014926615,0.7784911442973617,0.012108117461449715,0.8995339947867127,0.003532101026123703,0.782992962981725,0.010260877035818121,0.8998010322106265,0.0040610882161331106
27,ANN,bank_data,NA,0.7850772712231755,0.010384842174921943,0.8973488628314916,0.002769766097320338,0.784300392225026,0.01048942642236787,0.8977616138434277,0.0037709304781188622,0.752056757961598,0.01285576788345272,0.8925171450465694,0.0034278347664006992
28,XGBoost,bank_data,NA,0.7918670741958168,0.012222069118001434,0.8988056567717495,0.0036251772871375505,0.7925747028791054,0.012345630290070457,0.8987571248791861,0.003678120298225261,0.7941524526615575,0.010719833873176056,0.8994612205299338,0.003817080753801296
29,ScopeRules,bank_data,NA,0.578127972675811,0.009401933135414264,0.8983443090165677,0.0030916577340910525,0.578127972675811,0.009401933135414264,0.8983443090165677,0.0030916577340910525,0.578127972675811,0.009401933135414264,0.8983443090165677,0.0030916577340910525
30,Logistic Regression,new_spambase_data,1.0,0.9550513248324842,0.006375956432147853,0.8976301842060976,0.012160026564185099,0.9561194171096481,0.006333819405142507,0.8976311252806528,0.012382477765589454,0.9594188687310947,0.005701464135685382,0.8991528767395753,0.009375336449400556
31,Decision Tree,new_spambase_data,NA,0.8755514910595373,0.014953181484941387,0.8333001748385019,0.010821548313874725,0.878578813874719,0.013554207582350191,0.8382973577790803,0.010542785682091884,0.9175488308474453,0.011472463757228324,0.8606891645127771,0.009082358290485357
32,ANN,new_spambase_data,NA,0.957761245082559,0.007438641149319655,0.9026372782233498,0.013078377501633024,0.9575261294447591,0.006807414875539858,0.9058910681545507,0.011197295720624416,0.9623236517845836,0.0060157858758911045,0.9076283205497189,0.0070938126595001235
33,XGBoost,new_spambase_data,NA,0.9531555571483243,0.006580055826045652,0.8928532445600036,0.011086253631302397,0.9549138541540735,0.005605542457833785,0.8952440814526739,0.010643482385785948,0.9576168569982431,0.005272296698663638,0.9019817951387539,0.009198171108070715
34,ScopeRules,new_spambase_data,NA,0.8029492198415588,0.019703529052353938,0.8043946394092025,0.019232481755525534,0.8004385238403977,0.019187303996649918,0.7976668265260561,0.01906711129770359,0.8299547125349539,0.01843283041653096,0.8137571271500624,0.0190510223139677
35,Logistic Regression,mushroom_data,1.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,3.510833468576701e-17,1.0,0.0,1.0,0.0,1.0,0.0
36,Decision Tree,mushroom_data,NA,0.9971695128531636,0.003038660672742478,0.9967993898822808,0.003404479323361872,0.9971513255720547,0.0030596611104850733,0.9967993898822808,0.003404479323361872,0.997697075318819,0.0028624922639753805,0.9975381554062149,0.003065633104159003
37,ANN,mushroom_data,NA,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
38,XGBoost,mushroom_data,NA,1.0,0.0,1.0,0.0,1.0,3.510833468576701e-17,1.0,0.0,1.0,0.0,1.0,0.0
39,ScopeRules,mushroom_data,NA,0.9557005827736443,0.004562581645533172,0.9542106441470407,0.005031988635797812,0.9602969865525474,0.005154676780021201,0.9586418721087104,0.005508617508823386,0.9591142136396025,0.005439926900031846,0.9581498671886612,0.006050571648021917
40,Logistic Regression,new_breastcancer_data,1.0,0.9931676365100277,0.007639365516907375,0.9634258375640977,0.02467093980172515,0.9927003732981994,0.0085487754939689,0.9619552493288035,0.024638446843173498,0.9928918716146977,0.007649161366011623,0.9692442518863483,0.02223613923101393
41,Decision Tree,new_breastcancer_data,NA,0.9629417362026057,0.02627312389697884,0.961955885533967,0.018774454421583382,0.9623707180500659,0.019572879658628712,0.9516818083495565,0.020838401056927587,0.9449346728151076,0.03725672879777308,0.9444134824598237,0.03108160825665857
42,ANN,new_breastcancer_data,NA,0.9915289672083152,0.009396502351261146,0.972250003181026,0.021026853910176797,0.9910024154589372,0.00948445446748138,0.9678382384751434,0.02142320874526884,0.992041794759186,0.007500148357567218,0.9677517145729153,0.021645803366668305
43,XGBoost,new_breastcancer_data,NA,0.994130983750549,0.006512382702052627,0.966346337366874,0.02458157447019506,0.9944067486458792,0.005974131594978,0.96630307541576,0.027109332853726305,0.9934661835748791,0.006906124289770264,0.9648318509753026,0.02481628198056055
44,ScopeRules,new_breastcancer_data,NA,0.9571277082418387,0.03494255792585283,0.9223972846763626,0.020779212745592975,0.9690224710876885,0.02564131617774241,0.9297941240091104,0.026732476535414,0.9781239478114478,0.016092843613664993,0.9458627578221425,0.01851918466965569
45,Logistic Regression,adult_data,1.0,0.8907038768563822,0.005636765126086594,0.8372283869405454,0.005655265075458889,0.8910093128506581,0.005700633274670706,0.8380269127390712,0.005575972269124072,0.8940281171215627,0.006281716608653295,0.8386105356899032,0.005077245241204418
46,Decision Tree,adult_data,NA,0.8605161981290413,0.005844423984532416,0.8220261651525085,0.0049572271476326455,0.8610795676624339,0.006259201429426172,0.821872602498946,0.004943576658162998,0.8626213251092596,0.006509922987890472,0.823346709676154,0.006426289048592473
47,ANN,adult_data,NA,0.8943626879203848,0.0058347156161183186,0.8391632575160362,0.006044457796161,0.8931465576749993,0.006058628652638208,0.8387026449929428,0.006775471186106929,0.885698493378011,0.006748362836701731,0.8324681804225863,0.005275314258123457
48,XGBoost,adult_data,NA,0.8919432481633894,0.006008857718202172,0.8379348034360316,0.005136489023610877,0.8920626455992544,0.005893450644926341,0.8383341040540918,0.005398523766743397,0.8928466793116046,0.0057851148118476135,0.8385183886680663,0.005760885225077459
49,ScopeRules,adult_data,NA,0.5065732118089954,0.019719635426986314,0.7609717757783463,0.005352201644127611,0.5065732118089954,0.019719635426986314,0.7609717757783463,0.005352201644127611,0.5304657711671645,0.03760576441994205,0.7696931349525762,0.013224410855429771
50,Logistic Regression,australian_data,1.0,0.9178158330068348,0.05246306738071993,0.8710601631957131,0.057714598921006215,0.9201707587828132,0.05252384747276071,0.8710181463889903,0.055207092610647324,0.9186525401593313,0.045136851652803546,0.8536457191572282,0.056758677966058706
51,Decision Tree,australian_data,NA,0.8719696573941056,0.04465307476007255,0.8450121787845575,0.04895566946659035,0.8628355317574332,0.04619636693520694,0.8392138594568262,0.051623503182133865,0.858763440860215,0.04974079507577491,0.836272682986238,0.05809460302477997
52,ANN,australian_data,NA,0.9172862522310739,0.05023315913850936,0.8449701619778347,0.06039840091775221,0.9190806886944409,0.04678354039186747,0.8435001826817684,0.06793258320809517,0.916109768838971,0.047142245828234335,0.8521958348556813,0.049232270975076944
53,XGBoost,australian_data,NA,0.9194287362326412,0.04763488603386888,0.8697369382535622,0.0493241381103867,0.918640786208698,0.04787412636320382,0.866795761782974,0.04714537922808415,0.9163885986678857,0.04361534422401574,0.8711027889416636,0.0557495566360583
54,ScopeRules,australian_data,NA,0.9115773148752776,0.045583418219970084,0.8580995006698332,0.06273705197582977,0.9115773148752776,0.045583418219970084,0.8580995006698332,0.06273705197582977,0.9060469722693831,0.0483610663552347,0.8580995006698332,0.06273705197582977
55,Logistic Regression,mammo_data,1.0,0.8557441210750035,0.049735518121274386,0.8053303038524146,0.0489761421348211,0.8554554024406966,0.04974844470168356,0.8012065925122084,0.053867974142011395,0.8499809749074455,0.050920702969466325,0.8053627464279256,0.048715546662287015
56,Decision Tree,mammo_data,NA,0.8378299396681749,0.050733820534055216,0.8043101148489781,0.04468701251404237,0.8365473456282281,0.05570640613563072,0.8032791870139265,0.045737333880082574,0.8306014900132548,0.052391395884346215,0.7959758771929825,0.04695261261813857
57,ANN,mammo_data,NA,0.854176293477764,0.05213104473196641,0.8001429960209802,0.04566524446496974,0.8524856883312767,0.05117092779532646,0.8053627464279256,0.05000741895694629,0.8449032462635404,0.05189127495955553,0.8033225945017183,0.053455359825740734
58,XGBoost,mammo_data,NA,0.8478295683075094,0.04800583893022243,0.7969636236209079,0.053375995779054886,0.8455699814890991,0.04826413316926381,0.7980162551998553,0.047437216462712005,0.8430259895333425,0.04959246944818157,0.7990688867788027,0.048223371713432016
59,ScopeRules,mammo_data,NA,0.8320480826363179,0.050720767991815754,0.7667843416531018,0.041946213124925726,0.8320480826363179,0.050720767991815754,0.7667843416531018,0.041946213124925726,0.8305363590657707,0.04993451500262696,0.7667843416531018,0.041946213124925726
60,Logistic Regression,new_german_data,0.5,0.7826190476190477,0.03690906272942496,0.74,0.025298221281347056,0.7805714285714286,0.03522316285931828,0.739,0.020712315177207997,0.7842857142857144,0.03947099167329682,0.7489999999999999,0.018681541692269422
61,Logistic Regression,new_heart_data,0.5,0.9083670006464125,0.06708993051977451,0.8355172413793103,0.07992634519218436,0.9070802359405301,0.06676612954737457,0.832183908045977,0.07924997047653184,0.9001535229476406,0.05924301186857107,0.8288505747126436,0.06055889609985138
62,Logistic Regression,new_churn_data,0.5,0.8421384210635022,0.018291125778692057,0.8013357130133446,0.01302936407767792,0.8425418795169751,0.0185297115503812,0.8011960933835933,0.01409351622567472,0.8408484764558624,0.022303045611115548,0.7993460646421173,0.016804588927338757
63,Logistic Regression,new_icu_data,0.5,0.8584081544992413,0.013907631954739277,0.9086043623323663,0.0064820501604705314,0.8596478187609995,0.012963210307461516,0.9086891798520886,0.006617812030342757,0.8681860563100402,0.010531584619519488,0.9148044797498173,0.0055545095518232225
64,Logistic Regression,new_hribm_data,0.5,0.8400341414003201,0.06503288199517313,0.8782278294509215,0.017108511575069957,0.836941401365276,0.06568040856944915,0.8775521537752458,0.01463064727268884,0.8269096212613599,0.048167531721844944,0.8605819336249864,0.016080295010857667
65,Logistic Regression,bank_data,0.5,0.7851485043627549,0.012157888137482042,0.8995582548374778,0.003123966688224748,0.7868496706158337,0.01249277180394357,0.8994853803569169,0.003033158711822866,0.7925424028066923,0.011968019751739122,0.8992912115180474,0.0031151549087828265
66,Logistic Regression,new_spambase_data,0.5,0.9540547725587325,0.007053628248510458,0.8952369874354218,0.01312719488635649,0.9553276561048101,0.006695690493349579,0.8967606169339586,0.012076144392012857,0.9583615478783502,0.006426364053944474,0.9006760346734606,0.010666282327579291
67,Logistic Regression,mushroom_data,0.5,1.0,6.080941944488117e-17,0.9991374747286313,0.0013556342499181741,1.0,4.965068306494546e-17,0.9996300863131935,0.0011097410604192337,1.0,4.965068306494546e-17,1.0,0.0
68,Logistic Regression,new_breastcancer_data,0.5,0.9939231078904992,0.006643692855820999,0.9634258375640975,0.025532486480091512,0.9931821841604449,0.008115170443481215,0.9634258375640975,0.022932159106952652,0.9933736824769432,0.007586321975857741,0.9648538000534412,0.026446169277242075
69,Logistic Regression,adult_data,0.5,0.8906388248960304,0.0056060321385290246,0.8371362399187084,0.0057712418430553945,0.8909485859789003,0.005661907945210556,0.8380269033093718,0.005614997879097824,0.8943151746525864,0.006066072192581057,0.83888689188812,0.005630021288759984
70,Logistic Regression,australian_data,0.5,0.9164276696704541,0.047195358853172505,0.8652624528072099,0.05607601188258096,0.9182752165774237,0.047647936452985915,0.8638131774448912,0.05869418020170334,0.9189185277088503,0.045265440459670465,0.8594008037997808,0.05072719690118241
71,Logistic Regression,mammo_data,0.5,0.8561934389140271,0.049153990278808825,0.8063612316874661,0.048173800063109284,0.8553314251108368,0.04971385891649679,0.8053303038524146,0.0489761421348211,0.8515440605146487,0.05157405311614832,0.7980921052631579,0.05297085557208952
72,Logistic Regression,new_german_data,0.1,0.7605952380952382,0.037748158490021146,0.7209999999999999,0.034190641994557534,0.7624761904761904,0.03900276169069483,0.7310000000000001,0.03477067730142743,0.7712857142857142,0.03244150500771401,0.7510000000000001,0.026627053911388723
73,Logistic Regression,new_heart_data,0.1,0.9022988041370394,0.06656394700071046,0.838865406006674,0.07415848866366674,0.899161683904331,0.06569268911877349,0.8386429365962179,0.07275891233793087,0.8932692307692308,0.0699459978105414,0.8288579903596588,0.07146631057255458
74,Logistic Regression,new_churn_data,0.1,0.8421397996051436,0.018150038602865928,0.7990609651793863,0.01262823957016615,0.8420371892823312,0.018171078297212512,0.7993456622568463,0.012436642277862299,0.8422406026107525,0.01866047460790698,0.7987784924462555,0.012745302284565866
75,Logistic Regression,new_icu_data,0.1,0.8569549673322234,0.01388942214853751,0.9078392736850761,0.00566148458990363,0.8580825024131735,0.0134712959981044,0.9090288105496838,0.006146968272903925,0.8665221348996456,0.011736621778167934,0.9137849385433601,0.00576472126998705
76,Logistic Regression,new_hribm_data,0.1,0.8084934453832616,0.06162129578726411,0.8571712542847573,0.009648103640207238,0.8041705625681782,0.06578321748409892,0.8558199029334059,0.010787578233619529,0.80215642899767,0.05821441211591406,0.8626088347223376,0.01390222622712848
77,Logistic Regression,bank_data,0.1,0.7850403122586128,0.01207874791598403,0.8995825561568589,0.003131098749779754,0.7862145074480307,0.012256351194576132,0.8996068692672733,0.0032863647658709504,0.7936329742494386,0.012137153317047046,0.8993397257240607,0.0030522849324218695
78,Logistic Regression,new_spambase_data,0.1,0.9472188795445143,0.00766178174025295,0.8845909376986041,0.013469556837536126,0.9505795846674632,0.006962833593362143,0.8856769510910404,0.011828741030116741,0.9514508880712726,0.006842698201356703,0.8930658955608608,0.01060333250235192
79,Logistic Regression,mushroom_data,0.1,0.9999860077254075,2.020261584364439e-05,0.9980298573675694,0.0015770349034390733,0.9999695961210053,3.7735132686889725e-05,0.9980298573675694,0.0015770349034390733,0.9999833245288201,2.589598830814029e-05,0.9980298573675694,0.0015770349034390733
80,Logistic Regression,new_breastcancer_data,0.1,0.992469166300688,0.007135521741478496,0.959034749526027,0.024230289806278556,0.9911231426584687,0.00840694915001064,0.9590560623990022,0.02425346073032847,0.9930854743083003,0.007822158613586708,0.9619333002506648,0.02802460707881641
81,Logistic Regression,adult_data,0.1,0.890167430301924,0.005612016234669999,0.8365219704450592,0.005906310752660482,0.8901826051346114,0.005611239449716332,0.8374126526951212,0.005598699326406259,0.8939958960808211,0.005847118536376796,0.8390096665733754,0.005936242953653235
82,Logistic Regression,australian_data,0.1,0.9101055678899483,0.0390187916359107,0.8551376202654974,0.0588309580044326,0.9146064603195333,0.039632035557552875,0.8551376202654974,0.0588309580044326,0.9123964999347003,0.03818063773721153,0.8551163073925222,0.052440940650839964
83,Logistic Regression,mammo_data,0.1,0.8505596405228758,0.0490874730071575,0.8022375203472597,0.03765161449493129,0.8501353752456694,0.04986962333322197,0.8022375203472597,0.03765161449493129,0.8495950454773986,0.049510687476183646,0.8022375203472597,0.03765161449493129
