,Algorithm,Dataset,Parameter,AUC,AUC_STD,ACC,ACC_STD,XMAP_AUC,XMAP_AUC_STD,XMAP_ACC,XMAP_ACC_STD,LAYER_AUC,LAYER_AUC_STD,LAYER_ACC,LAYER_ACC_STD
27,ANN,bank_data,NA,0.785077271,0.010384842,0.897348863,0.002769766,0.786713137,0.010851205,0.898392835,0.003081674,0.758467177,0.012316937,0.893828432,0.003484039
28,XGBoost,bank_data,NA,0.791867074,0.012222069,0.898805657,0.003625177,0.792285023,0.012034727,0.898902774,0.003666256,0.793340878,0.010826245,0.898757107,0.003673867
29,ScopeRules,bank_data,NA,0.578127973,0.009401933,0.898344309,0.003091658,0.578127973,0.009401933,0.898344309,0.003091658,0.578127973,0.009401933,0.898344309,0.003091658
30,Logistic Regression,new_spambase_data,1,0.955051325,0.006375956,0.897630184,0.012160027,0.955682758,0.006404812,0.898716667,0.012685253,0.956749804,0.007021213,0.899589539,0.011790234
31,Decision Tree,new_spambase_data,NA,0.875551491,0.014953181,0.833300175,0.010821548,0.875268588,0.015117233,0.833300648,0.010857122,0.894028145,0.011312221,0.828952818,0.013533648
32,ANN,new_spambase_data,NA,0.957761245,0.007438641,0.902637278,0.013078378,0.957508874,0.006923975,0.903935967,0.009781929,0.960989753,0.008136973,0.901327739,0.008567601
33,XGBoost,new_spambase_data,NA,0.953155557,0.006580056,0.892853245,0.011086254,0.954209833,0.006598038,0.89481308,0.012468044,0.955778165,0.006664709,0.896982261,0.009692409
34,ScopeRules,new_spambase_data,NA,0.80294922,0.019703529,0.804394639,0.019232482,0.80294922,0.019703529,0.804394639,0.019232482,0.809511774,0.015091879,0.808089814,0.019023962
35,Logistic Regression,mushroom_data,1,1,4.97E-17,1,0,1,4.97E-17,1,0,1,0,1,0
36,Decision Tree,mushroom_data,NA,0.997169513,0.003038661,0.99679939,0.003404479,0.998188103,0.002868849,0.997906401,0.003262367,1,0,1,0
37,ANN,mushroom_data,NA,1,0,1,0,1,0,1,0,1,0,1,0
38,XGBoost,mushroom_data,NA,1,0,1,0,1,3.51E-17,1,0,1,0,1,0
39,ScopeRules,mushroom_data,NA,0.955700583,0.004562582,0.954210644,0.005031989,0.955700583,0.004562582,0.954210644,0.005031989,0.968762353,0.010826025,0.958641872,0.005508618
40,Logistic Regression,new_breastcancer_data,1,0.993167637,0.007639366,0.963425838,0.02467094,0.99313479,0.007577011,0.961955249,0.024638447,0.993451727,0.007199021,0.964789225,0.026539245
41,Decision Tree,new_breastcancer_data,NA,0.962941736,0.026273124,0.961955886,0.018774454,0.962487191,0.020502041,0.954644934,0.020113177,0.955181891,0.032675106,0.948719319,0.024860982
42,ANN,new_breastcancer_data,NA,0.991528967,0.009396502,0.972250003,0.021026854,0.992037677,0.008731468,0.970779415,0.023515633,0.991761913,0.007445885,0.964831851,0.022980384
43,XGBoost,new_breastcancer_data,NA,0.994130984,0.006512383,0.966346337,0.024581574,0.993610196,0.006151499,0.9648538,0.02473156,0.994308026,0.006104867,0.963404525,0.028813264
44,ScopeRules,new_breastcancer_data,NA,0.957127708,0.034942558,0.922397285,0.020779213,0.959451124,0.037187782,0.919478057,0.027279441,0.979580268,0.017377716,0.935589953,0.02094637
45,Logistic Regression,adult_data,1,0.890703877,0.005636765,0.837228387,0.005655265,0.891598047,0.005926417,0.837965441,0.005497222,0.894126953,0.006250174,0.838733376,0.005096332
46,Decision Tree,adult_data,NA,0.860516198,0.005844424,0.822026165,0.004957227,0.86024267,0.006111166,0.821166214,0.004857821,0.861973781,0.007064039,0.823285313,0.006229447
47,ANN,adult_data,NA,0.894362688,0.005834716,0.839163258,0.006044458,0.893643743,0.00632416,0.839439755,0.006052611,0.886970836,0.00582345,0.834556529,0.005934091
48,XGBoost,adult_data,NA,0.891943248,0.006008858,0.837934803,0.005136489,0.891896077,0.005990364,0.839040407,0.005780361,0.892789291,0.006173545,0.838487629,0.005948481
49,ScopeRules,adult_data,NA,0.506573212,0.019719635,0.760971776,0.005352202,0.506573212,0.019719635,0.760971776,0.005352202,0.549759376,0.042956164,0.774361657,0.012859802
50,Logistic Regression,australian_data,1,0.917815833,0.052463067,0.871060163,0.057714599,0.920289822,0.052669865,0.871039459,0.0540412,0.922844347,0.042932841,0.858015467,0.057384862
51,Decision Tree,australian_data,NA,0.871969657,0.044653075,0.845012179,0.048955669,0.873502677,0.045078806,0.8450749,0.045663313,0.876573179,0.046517376,0.845032883,0.048931006
52,ANN,australian_data,NA,0.917286252,0.050233159,0.844970162,0.060398401,0.916902943,0.046599309,0.84064304,0.065019294,0.913865635,0.049180931,0.849360005,0.052054314
53,XGBoost,australian_data,NA,0.919428736,0.047634886,0.869736938,0.049324138,0.922202016,0.047850513,0.86536719,0.050598424,0.922035501,0.041060279,0.865409816,0.052939265
54,ScopeRules,australian_data,NA,0.911577315,0.045583418,0.858099501,0.062737052,0.911577315,0.045583418,0.858099501,0.062737052,0.906725872,0.045172203,0.856628912,0.063354759
55,Logistic Regression,mammo_data,1,0.855744121,0.049735518,0.805330304,0.048976142,0.855453203,0.049919074,0.805330304,0.048976142,0.846069233,0.052724586,0.802259224,0.047068297
56,Decision Tree,mammo_data,NA,0.83782994,0.050733821,0.804310115,0.044687013,0.833017563,0.049007588,0.797006805,0.040550368,0.829318353,0.044588753,0.786632415,0.034969541
57,ANN,mammo_data,NA,0.854176293,0.052131045,0.800142996,0.045665244,0.855122178,0.051538365,0.80223752,0.048104303,0.845442291,0.050906261,0.80538445,0.048658342
58,XGBoost,mammo_data,NA,0.847829568,0.048005839,0.796963624,0.053375996,0.847429699,0.049042807,0.80117415,0.045326944,0.841324986,0.048637726,0.803279413,0.045467753
59,ScopeRules,mammo_data,NA,0.832048083,0.050720768,0.766784342,0.041946213,0.832048083,0.050720768,0.766784342,0.041946213,0.83099319,0.048795598,0.76573171,0.041493253
60,Logistic Regression,new_german_data,0.5,0.782619048,0.036909063,0.74,0.025298221,0.784904762,0.035592841,0.745,0.020615528,0.784666667,0.045024458,0.746,0.022
61,Logistic Regression,new_heart_data,0.5,0.908367001,0.067089931,0.835517241,0.079926345,0.907053975,0.066544893,0.825732295,0.081061484,0.895256949,0.063587312,0.809273267,0.075269253
62,Logistic Regression,new_churn_data,0.5,0.842138421,0.018291126,0.801335713,0.013029364,0.842228338,0.018365647,0.800341597,0.012616131,0.839934132,0.022483807,0.798208085,0.015533334
63,Logistic Regression,new_icu_data,0.5,0.858408154,0.013907632,0.908604362,0.00648205,0.858571648,0.013622464,0.909029099,0.006704248,0.863820165,0.011894274,0.911237167,0.00499365
64,Logistic Regression,new_hribm_data,0.5,0.840034141,0.065032882,0.878227829,0.017108512,0.837709523,0.065398835,0.877542961,0.015278046,0.817163453,0.052082233,0.864696182,0.016784909
65,Logistic Regression,bank_data,0.5,0.785148504,0.012157888,0.899558255,0.003123967,0.7893115,0.012191334,0.899801032,0.002953696,0.792702744,0.012402701,0.899849623,0.003625132
66,Logistic Regression,new_spambase_data,0.5,0.954054773,0.007053628,0.895236987,0.013127195,0.954704776,0.006679097,0.895672711,0.015008343,0.95561756,0.007426094,0.899152864,0.013575959
67,Logistic Regression,mushroom_data,0.5,1,6.08E-17,0.999137475,0.001355634,1,0,0.999630086,0.001109741,1,0,1,0
68,Logistic Regression,new_breastcancer_data,0.5,0.993923108,0.006643693,0.963425838,0.025532486,0.993326288,0.007872211,0.963425838,0.025532486,0.993822098,0.007287657,0.966324388,0.027101382
69,Logistic Regression,adult_data,0.5,0.890638825,0.005606032,0.83713624,0.005771242,0.891497667,0.005819963,0.837811878,0.005383356,0.894394984,0.006095787,0.839286164,0.004479575
70,Logistic Regression,australian_data,0.5,0.91642767,0.047195359,0.865262453,0.056076012,0.920554177,0.045634918,0.863813177,0.05869418,0.923987745,0.04285592,0.860871392,0.058860795
71,Logistic Regression,mammo_data,0.5,0.856193439,0.04915399,0.806361232,0.0481738,0.855872926,0.049036445,0.806361232,0.0481738,0.851790901,0.050155094,0.802259224,0.046385945
72,Logistic Regression,new_german_data,0.1,0.761,0.038,0.721,0.034,0.763,0.037,0.731,0.033,0.770,0.037984519,0.744,0.023323808
73,Logistic Regression,new_heart_data,0.1,0.902,0.067,0.839,0.074,0.904,0.066,0.835,0.080,0.896,0.060827161,0.815732295,0.078520795
74,Logistic Regression,new_churn_data,0.1,0.842,0.018,0.799,0.013,0.842,0.018,0.800,0.012,0.842,0.01910097,0.799204628,0.012077919
75,Logistic Regression,new_icu_data,0.1,0.857,0.014,0.908,0.006,0.857,0.014,0.908,0.006,0.862,0.012470941,0.911407235,0.004484364
76,Logistic Regression,new_hribm_data,0.1,0.808,0.062,0.857,0.010,0.807,0.061,0.858,0.009,0.809,0.058485473,0.863983294,0.016586943
77,Logistic Regression,bank_data,0.1,0.785,0.012,0.900,0.003,0.788,0.012,0.900,0.003,0.793,0.012075857,0.899436872,0.003476831
78,Logistic Regression,new_spambase_data,0.1,0.947,0.008,0.885,0.013,0.949,0.007,0.886,0.013,0.949,0.008097899,0.887417023,0.012686068
79,Logistic Regression,mushroom_data,0.1,1.000,0.000,0.998,0.002,1.000,0.000,0.998,0.002,1.000,6.08E-17,0.998029857,0.001577035
80,Logistic Regression,new_breastcancer_data,0.1,0.992,0.007,0.959,0.024,0.991,0.009,0.958,0.022,0.993,0.008127208,0.957564161,0.028130801
81,Logistic Regression,adult_data,0.1,0.890,0.006,0.837,0.006,0.890,0.006,0.838,0.005,0.894,0.005961923,0.838948289,0.005143992
82,Logistic Regression,australian_data,0.1,0.910,0.039,0.855,0.059,0.916,0.041,0.855,0.059,0.915,0.03856735,0.849360614,0.056896311
83,Logistic Regression,mammo_data,0.1,0.851,0.049,0.802,0.038,0.851,0.049,0.802,0.038,0.850,0.047642797,0.80223752,0.037651614
